analysis_group,muscle,term,type,nobs,sex,estimate,std.error,statistic,p.value,conf.low,conf.high,i.squared,h.squared,tau.squared,tau.squared.se,cochran.qe,p.value.cochran.qe,cochran.qm,p.value.cochran.qm,df.residual,logLik,deviance,AIC,BIC,AICc,pi.lb,pi.ub
pf,hs,overall,summary,1,mixed,1.8463928010850366,0.30954706607409926,1.981068359681456,0.04758360798064317,1.0065541826704942,3.386967571734459,0,1,0,NA,0,1,3.9246318457309752,0.047583607980643164,0,0,-0,4,-Inf,16,1.0065541826704942,3.386967571734459
pf,hs,overall,summary,1,Overall,1.8463928010850366,0.30954706607409926,1.981068359681456,0.04758360798064317,1.0065541826704942,3.386967571734459,0,1,0,NA,0,1,3.9246318457309752,0.047583607980643164,0,0,-0,4,-Inf,16,1.0065541826704942,3.386967571734459
pf,quad,overall,summary,3,mixed,2.345468169107896,0.16977218255994456,5.021346929705069,5.131038567301812e-7,1.6815864515915606,3.271446988105572,0,1,0,0.0845844354174316,0.7433882035954626,0.6895651470037427,25.213924988458523,5.131038567301807e-7,2,-0.5272561157323936,1.0545122314647872,5.054512231464788,2.4408065925846776,17.054512231464788,1.6815864515915604,3.2714469881055726
pf,quad,overall,summary,1,Women,1.3879382755377812,0.1981703981679134,1.6542298650698457,0.09808081696170035,0.9412114544172296,2.0466948714468662,0,1,0,NA,0,1,2.7364764464889992,0.09808081696170086,0,-3.923312560646689e-32,7.846625121293378e-32,4,-Inf,16,0.9412114544172295,2.0466948714468662
pf,quad,overall,summary,1,Men,0.7257819069416369,0.33471227925545327,-0.9575558854971248,0.3382867531203044,0.3766157939130322,1.3986651249296191,0,1,0,NA,0,1,0.9169132738501827,0.3382867531203045,0,0,-0,4,-Inf,16,0.3766157939130322,1.3986651249296194
pf,quad,overall,summary,5,Overall,1.6225879610225191,0.2419745400846811,2.0003029294828667,0.045467562892826385,1.0098087915664629,2.607218033001184,69.76821129163731,3.3077764919790558,0.1833519563962915,0.20008708793608726,11.814307625194019,0.018786886978644973,4.00121180969774,0.04546756289282628,4,-3.4136601726096845,6.827320345219369,10.82732034521937,9.59990906745915,22.82732034521937,0.6188078808745873,4.254618877080525
tf,hs,overall,summary,4,mixed,1.1628140165924592,0.04913777860863296,3.0697957472687403,0.002142052086935499,1.0560490863078118,1.2803727163017249,0,1,0,0.05447595325696544,1.6440802692431404,0.6494367241793173,9.423645929949243,0.0021420520869354994,3,-0.18336140287316227,0.36672280574632454,4.366722805746324,2.563947383082544,16.366722805746324,1.0560490863078118,1.2803727163017249
tf,hs,overall,summary,1,Women,1.2229539040451551,0.11160524482067852,1.8034023887593178,0.0713250427461835,0.9826786740564379,1.5219789448014307,0,1,0,NA,0,1,3.252260175782814,0.0713250427461831,0,0,-0,4,-Inf,16,0.9826786740564378,1.521978944801431
tf,hs,overall,summary,1,Men,1.0313367711225705,0.14213593804611593,0.21708652467360173,0.8281409153201028,0.7805741637994146,1.3626578803123937,0,1,0,NA,0,1,0.04712655919486229,0.8281409153201028,0,0,-0,4,-Inf,16,0.7805741637994145,1.3626578803123937
tf,hs,overall,summary,6,Overall,1.1587790863948388,0.0428768681741291,3.4369800170987435,5.882390005313752e-4,1.0653781661487411,1.2603683966230153,0,1,0,0.00842991131682847,2.554281296233979,0.7682989292865507,11.812831637936082,5.882390005313756e-4,5,1.7338564903400253,-3.4677129806800506,0.5322870193199494,-0.24883715581185006,6.532287019319949,1.0653781661487411,1.2603683966230153
tf,quad,overall,summary,8,mixed,1.2220040615858598,0.1774106703720042,1.1301021750467068,0.2584331733532744,0.8630986016222092,1.7301544965148425,43.68064021182911,1.7755883656369904,0.10158568961180878,0.12700248993827937,14.506094213768717,0.04287824439833436,1.2771309260452977,0.25843317335327454,7,-6.912451569831854,13.824903139663707,17.824903139663707,17.716723437774334,20.824903139663707,0.5978280190459994,2.4978654043604434
tf,quad,overall,summary,4,Women,1.2538149777988326,0.09522502611973514,2.3753302564120844,0.017533254702662544,1.0403459104856292,1.5110858635651863,53.78734628526517,2.1639094914844756,0.01878432964694248,0.029304758865436462,6.375569053584042,0.09470106048215127,5.6421938270266985,0.017533254702662534,3,0.7897403950769695,-1.579480790153939,2.420519209846061,0.6177437871822806,14.420519209846061,0.9040173737164129,1.7389621530059605
tf,quad,overall,summary,4,Men,1.0976501104056258,0.12082530608697155,0.771126798589341,0.4406317776055428,0.8661981232251529,1.3909470969383602,69.25110322295754,3.2521491982327424,0.040055287127957015,0.04768453884941117,8.885354970314589,0.03085463449265743,0.5946365395026462,0.44063177760554273,3,-0.11897844054191098,0.23795688108382196,4.2379568810838215,2.4351814584200415,16.23795688108382,0.6941739197578259,1.7356396294660696
tf,quad,overall,summary,16,Overall,1.1808236848564315,0.06720674207882874,2.473148196669378,0.013392859283366206,1.0350910967042408,1.3470742615384803,48.39706860826141,1.9378744056390869,0.028335416123579416,0.023027829806518234,32.44070369443994,0.00560472415319703,6.116462002688995,0.013392859283366202,15,-6.1368373397561795,12.273674679512359,16.27367467951236,17.68977508171678,17.27367467951236,0.8277579632640356,1.684483431871446
